S. No.,Item name*,Item code,Purchase,Sale Price,In stock,
503,JOHNSONS BABY TOP TO TOE,8901012116876,50,55,1,
504,JOY FAIRNESS LTN SPF20,8904035417913,39.5,49.5,12,
505,JYOTI KALAWA MOLI,,3,10,50,
506,JYOTI ROLI KUMKUM,,4.5,5,6,
507,KAIXING LOCK,,0,20,0,
508,KAIXING LOCK 20 MM 361,,16,50,8,
509,KALA KHATTA,,10,20,10,
510,KANGARO STAPLES 24/6-1 M,,35,39,2,
511,KANTHAMRIT CHEWABLE TABL,,35,40,0,
512,KASHMIRI DEGI MIRCH 100,,50,82,-1,
513,KEO KARPIN NON STICK HAI,8906014201209,42,48,8,
514,KESARI SAFFRON,,50,129,2,
515,KESH KANTI HAIR CONDITIO,8904109450723,50,60,3,
516,KESH KANTI HERBAL MEHNDI,8904109411205,30,35,5,
517,KEY CHAIN RING LUVI,6937787508013,15,30,12,
518,KEYA ITALIANO CHIFFRI RI,,140,140,4,
519,KEYA PENNE RIGATE PASTA,8906066202254,160,175,6,
520,KHADI ALOEVERA SOAP,8904270709149,35,70,8,
521,KHAJOOR 250 GM,,45,45,0,
522,KHILADI SHUTTLE 10 PC,,14,28,10,
523,KINGFISHER 500 ML WATER,,185,240,0,
524,KINLEY WATER 2 L,,21,30,33,
525,KINLEY WATER 500ML,89000724,0,10,0,
526,KISSAN FRESH TOMATO KETC,8901030699085,100,140,0,
527,KISSAN SWEET SPICY SAUCE,8901030660344,150,160,1,
528,KITKAT 27.5 GM,,15,20,0,
529,KIW BOOT POLISH,8906006432406,70,85,0,
530,KIWI BOOT POLISH 40 GM D,,31,63,5,
531,KNORR CHINESE CHILLIE 51,,38,50,3,
532,KNORR HOT AND SOUR VEG,8901030824739,46,55,3,
533,KNORR TOMATO SOUP 14 GM,8901030757501,8,10,14,
534,KORES CARBON PAPER 10 PC,,1.75,50,8,
535,KORES CARBON PAPER 100 P,,175,230,1,
536,KORES CARBON PAPER SINGL,853817007461,1.7,10,18,
537,KS SPARK DEODORANT SPRAY,8901216812260,299,299,3,
538,KURKURE CHILLI CHATKA 47,8901491363020,9,10,0,
539,KURKURE MASALA MUNCH 128,,26,30,2,
540,KURKURE MASALA MUNCH 45,8901491361026,9,10,5,
541,KURKURE PUFFCORN 28GM,8901491365703,9,10,0,
542,KURKURE SOLID MASTI,8901491380010,9,10,2,
543,KW CD CHOCOLATE 700ML,8901030776021,91.81,130,0,
544,KW ORANGE MAHABAR,8901030821998,7.06,10,0,
545,KW PARTY PACK OF BUTTERS,8901030777172,109,135,1,
546,KW PARTY PACK OF MANGO 7,8901030776762,109,135,4,
547,KW PARTY PACK OF TUITY F,8901030776014,109,140,2,
548,KW VANILLA CUP,8901030546563,7.06,10,0,
549,KWALITY COMBI PACK,8906014903547,30,60,3,
550,KWALITY WALLS CADBURY CR,8901030846304,239,349,2,
551,KWALITY WALLS CHOCOBAR M,8901030590399,9,10,-46,
552,LACE RIBBON DOUBE BELL B,,20,25,8,
553,LACE RIBBON DOUBE BELL B,,100,100,10,
554,LACE RIBBON DOUBE BELL S,,25,40,6,
555,LACE RIBBON DOUBE DAFFOD,,15,20,5,
556,LACE RIBBON POLKA DOTTED,,12,20,5,
557,LAHORI SALT POWDER,,17,20,0,
558,LAKME FACE WASH STRAWBER,8901030732874,100,110,0,
559,LAKME PEACH MILK,8901030648465,89,99,0,
560,LAKME SUN EXPERT ULTRAMA,8901030764837,290,299,1,
561,LAUNG LONG 100 GM,,81,120,5,
562,LAUNG LONG 50 GM,,42,80,7,
563,LAYS AMERICAN CREAM AND,8901491001076,27,30,0,
564,LAYS CHILE LIMON,8901491981538,9,10,-2,
565,LAYS CHIPS CRISPZ 25 GM,8901491982870,9,10,-9,
566,LAYS CLASSIC SALTED,8901491503013,9,10,0,
567,LAYS CREAM AND ONION 190,,74,85,3,
568,LAYS HOT & CHILLIE CHIPS,8901491503051,9,10,2,
569,LAYS INDIAN MAGIC 28 GM,8901491503020,9,10,-2,
570,LAYS INDIAN MAGIC MASALA,8901491001069,27,30,0,
571,LAYS INDIAS MAGIC MASALA,8901491001137,80,85,-3,
572,LAYS MAGIC MASALA 27 GM,,9,10,8,
573,LAYS MAXX MACHO CHILLI 5,8901491001151,20,30,1,
574,LAYS MAXX MACHO CHILLI 6,8901491001144,20,30,-14,
575,LAYS TOMATO TANGO,8901491503044,9,10,1,
576,LEEFORD GREEN TEA,8904250601951,180,195,1,
577,LEMON LIME FAIRNESS FACI,8809311914233,90,99,5,
578,LIA AGARBATTI CONES,8901751008661,10,15,14,
579,LIFAFA,,0,30,24,
580,LIFEBUOY HAND WASH 500ML,8901030813184,0,0,5,
581,LIFEBUOY HAND WASH BUY 1,8901030776205,180,189,0,
582,LIFREE EXTRA ABSORB PANT,8903622000040,450,490,10,
583,LIJJAT PAPAD 200 GM,8901441017010,68,76,2,
584,LIMCA 2 L,8901764052408,70,90,0,
585,LIMCA 750 ML COLD DRINK,8901764052279,35,40,10,
586,LINC GEL PEN LOOSE,,12,15,7,
587,LINC GEL PEN POUCH,8904106834700,50,60,1,
588,LIRIL LIME & TEA TREE OI,8901030844751,37.5,70,6,
589,LIVON 100ML SERUM,8901088200066,190,250,6,
590,LIVON SERUM 20 ML,8901088062374,48,60,0,
591,LOOFAH DOVE,,65,65,3,
592,LOREAL PARIS COLOURPROTE,8901526102518,60,69,1,
593,LOREAL PARIS EXTRAORDINA,8901526513338,80,99,2,
594,LOREAL PARIS EXTRORDINAR,8901526513321,180,199,3,
595,LOREAL PARIS FALL RESIST,8901526102358,180,199,1,
596,LOREAL PARIS NOURISHING,8901526103447,50,65,2,
597,LOREAL PARISH EXTRAODINA,8901526513390,60,69,1,
598,LOTTE CHOCO PIE,8901123005960,80,90,1,
599,LOTTE CHOCO PIE LOOSE,,15,20,3,
600,LOTTO CHOCO PIE LOOSE,,17,20,3,
601,LUVLT LUSCIOUS LOVE DELI,8906079012253,200,220,5,
602,LUX FRRESH SPLASH 150 GM,,50,60,2,
603,LUX SOAP FRESH SPLASH 15,8901030837180,150,154,0,
604,LUX SOAP JASMINE AND VIT,8901030858451,120,125,0,
605,LUX SOFT GLOW BATHING SO,8901030836725,125,165,2,
606,LUX VALVET GLOW 150 GM P,8901030753060,135,154,0,
607,LVY GRIP TAPE,,170,200,1,
608,MAAZA 1.2 L,8901764092305,49,70,21,
609,MAAZA 1.75 LTR.,8901764092152,84,95,11,
610,MAGGI 2 MINUTE NOODLES 1,8901058851304,20,24,0,
611,MAGGI HOT & SWEET TOMATO,8901058101614,150,165,3,
612,MAGGI HOT & SWEET TOMATO,8901058117783,100,115,1,
613,MAGGI PAZZTA CHEES MACAR,8901058867985,36,54,3,
614,MAGGIE AATA NOODLE 72.5,8901058866698,21,24,1,
615,MAGGIE AATA NOODLE MASAL,8901058866711,89,94,0,
616,MAGGIE FUSION SWEET CHIL,8901058873146,18,20,0,
617,MAGGIE MASALA 280 GM,8901725119553,45,48,0,
618,MAGGIE MASALA NOODLE 420,,63,72,0,
619,MAGGIE MASALA NOODLE 560,,84,96,9,
620,MAGGIE MASALA NOODLE 70,8901058851298,11,12,0,
621,MAHARAJA GOPI CHANDAN 30,,15,30,10,
622,MALKA LAL,,100,120,5,
623,MAMY POCO EXTRA CLEAN WI,8903622001450,160,185,1,
624,MAMY POCO PANTS L 9 TO 1,,10,12,11,
625,MAMY POCO PANTS M 7 PANT,8903622000859,90,99,0,
626,MAMY POCO PANTS NB1 28 P,,150,300,5,
627,MAMY POCO PANTS S 2 PANT,8903622001160,17,20,1,
628,MAMYPOKO PANTS S 42 PANT,8903622037145,450,499,3,
629,MANGAL DEEP AGARBATTI 10,,35,70,10,
630,MANY POKO PANTS NB 28 PA,8903622000767,250,299,2,
631,MARG0 NEEM LEAVES,,20,20,-1,
632,MARGO ORIGINAL NEEM 300G,8902102230854,80,85,0,
633,MASALA SOYA KATORI 100GM,8906063434351,36,40,-1,
634,MASK OPEN BLUE 3 PLY,,1.5,10,49,
635,MASTERCOOK CONTINER SET,,45,90,0,
636,MAX KLEEN 500 ML,8901399435522,78,98,1,
637,MAX KLEEN 975 ML,8901399435560,100,188,1,
638,MAX KLEEN DISINFECTANT F,8901399435027,49,98,2,
639,MAX KLEEN DISINFECTANT F,8901399435065,100,188,2,
640,MCCAIN ALOO TIKKI,8906000610336,92,102,2,
641,MCCAIN CHILLI CHEESY NUG,8906000611760,90,110,0,
642,MCCAIN CHILLI GARLIC POT,8906000610084,105,115,0,
643,MCCAIN FRENCH FRIES 200,8906000610633,15,49,3,
644,MCCAIN SMILES 750 GM,8906000610701,179,199,2,
645,MCCOIN SMILES,8906000610077,95,115,2,
646,MCVITIE OATS COOKIES 70,8906033743230,16,35,4,
647,MCVITIES 5 GRAIN,8906033742523,22,30,25,
648,MCVITIES CHEESE CRACKER,8906033742530,19,30,3,
649,MCVITIES DIGESTIVE FIBER,8906033740758,20,25,-3,
650,MCVITIES DIGESTIVE FIBER,8906033740390,32,40,2,
651,MCVITIES HOBNOBS OAT BIS,,35,70,12,
652,MCVITIES MARIE PACK 300G,8906033740154,15,30,5,
653,MDH DEGGI MIRCH 100GM,8902167000034,60.68,82,2,
654,MDH HING 10 GM,,67,87,8,
655,MDH PEACOCK KASOORI METH,8902167000164,19,25,7,
656,MDH SUPER HING,8902167004940,77,87,-6,
657,MENGLOW SKINCARE EXPERT,8904250610397,90,100,4,
658,METEO CHEF FUSSILI,,97,175,3,
659,MIRINDA 1.5 LTR,8902080204076,50,80,4,
660,MIRINDA 2.25 Ltr,,72,95,5,
661,MIX DAL 1 KG,36000425871,93,115,5,
662,MIX FRUIT FALOODA MIX,8906122500805,49,98,4,
663,MK SAUNTH POWDER DRY GIN,8906029821058,50,72,9,
664,MOMS MAGIC BUTTER,,27,30,2,
665,MOMS MAGIC CASHEW ALMOND,8901725113384,8,10,67,
666,MOMS MAGIC CASHEW ALMOND,8901725104627,15.83,20,16,
667,MOONG SABUT DAL 1 KG,,87,140,5,
668,MOPZ AQUA FRESH 500ML,8904132919778,50,99,2,
669,MOPZ FRESH LIME,,49,99,5,
670,MORTEIN POWER BOOSTER MO,8901396506003,22,30,3,
671,MORTIN COIL GREEN,8901396503002,20,28,12,
672,MOTHERS MANGO PICKLE 200,8906001050643,30,54,2,
673,MOTHERS MIXED PICKLE,8906001050704,30,54,2,
674,MOTHERS RECIPE PICKEL 95,,150,160,2,
675,MOUNTAIN DEW,890208036502,25,30,3,
676,MOUNTAIN DEW 1.5,8902080364077,50,80,5,
677,MOUNTAIN DEW 250 ML,,25,30,14,
678,MTR KHATTA MEETHA POHA,8901042967349,12.5,25,6,
679,MTR MASALA UPMA,8901042962597,40,70,0,
680,MTR SAMBAR MASALA,8901042954714,90,110,1,
681,MTR UPMA 500 GM,8901042968223,100,105,0,
682,MTR VERMICLLI,8901042970059,50,55,-1,
683,MUNCH NUTS,8901058875744,15,20,1,
684,NARMADA DRY MANGO POWDER,,39,55,10,
685,NARPA DRY MANGO POWDER A,8906091170160,38,55,9,
686,NATARAJ BLACK GEL PEN,8901324013160,4.5,5,0,
687,NATARAJ PEN PACKET,,0,25,-1,
688,NATARAJ PENCILS,8901324023138,30,40,5,
689,NATRAJ GEL PEN,8901324020823,4.5,5,10,
690,NATRAJ GLOW CLASSIC MIST,,3.5,5,200,
691,NATRAJ PEN 5 MRP,8901324013559,3.33,5,479,
692,NATRAJ SNAPPY BALL PEN,8901324013542,4.5,5,0,
693,NATRAL PLASTO ERASER,,0.9,1,18,
694,NAVYCUT LOOSE,,9,10,0,
695,NESCAFE ALL IN 1,89005750,8,10,0,
696,NESCAFE COFFEE CLASSIC P,8901058893267,40,45,0,
697,NESCAFE COFFEE JAR 25 GM,89006733,72,78,-1,
698,NESCAFE GLASS PACK OF 10,36000366402,100,110,3,
699,NESCAFE GOLD BLIND,8901058867015,270,290,7,
700,NESCAFE ORIGINAL 200 GM,,450,530,5,
701,NESTLE BAR ONE,8901058896701,9,10,1,
702,NESTLE EVERY DAY DAIRY W,8901058869453,8,10,-6,
703,NESTLE KIT KAT 3 FINGER,8901058144345,17,20,17,
704,NESTLE KITKAT DESSERT LI,8901058868647,135,160,5,
705,NESTLE LACTOGEN 500G,8901058856507,365,365,2,
706,NESTLE MAHA MUNCH 25,8901058869002,9,10,-3,
707,NILON GINGER GARLIC 200,8901560270242,25,50,1,
708,NILONS INSTANT MIX GULAB,8901560120257,100,120,1,
709,NILONS LEMON PICKLE 500G,8901560140521,150,200,2,
710,NILONS MIXED PICKLE 500G,8901560140545,100,120,4,
711,NILONS RAJASTHANI GREEN,8901560010336,50,65,3,
712,NILONS RAJASTHANI MANGO,8901560010510,100,125,2,
713,NILONS RAJASTHANI MIXED,8901560010541,100,125,2,
714,NILONS SEWAIYAN 90 GM,8901560101218,12,15,3,
715,NILONS VINEGAR,8901560722390,55,60,1,
716,NINE NTURALLY SOFT 6 PA,8908010780610,60,75,14,
717,NINE EXTRA LONG 18 PADS,8908010780306,90,100,3,
718,NINE SOFT & COTTONY 18 P,8908010780313,90,100,3,
719,NINE ULTRA THIN XL+6 PAD,8908010780627,40,75,19,
720,NIPON RAJASTHANI MIX PIC,8901560010343,60,65,5,
721,NIPPLE 115 ML,,40,45,5,
722,NIPPLE 225 ML,,45,50,4,
723,NIPPO LED BULB 9 W,8901559104503,120,160,0,
724,NISSIN CUP NOODLES TANGY,8901014012312,40,50,0,
725,NISSIN CUP NOODLES VEGIE,8901014004836,40,50,0,
726,NISSIN TOP RAMEN MASALA,8901014002054,48,72,4,
727,NIVEA DEDORANT PEARL & B,4005900294517,132.67,199,1,
728,NIVEA DEODORANT FRENATUR,4005900017543,112.5,225,4,
729,NIVEA MAN DEEP IMPACT,4005900518217,113,225,4,
730,NIVEA MEN COOL KICK 50ML,4005900294487,13.67,199,4,
731,NIVEA MEN FRESH ACTIVE,8904256002820,200,225,9,
732,NIVEA MILK DELIGHT SAFFO,8904256005289,92,185,1,
733,NIVEA WHITENING SMOOTH S,8904256001731,200,209,5,
734,NO STOCK NESTLE MUNCH 5,8901058890136,4.5,5,0,
735,NOOTAN DRAWING BOOK COPY,,15,20,2,
736,NOTEBOOK REGISTER A4 SIZ,,29,40,10,
737,NOTEBOOK REGISTER A4 SIZ,,38,50,8,
738,NOVA FLAUOUR MILK KESAR,8901842022347,15,35,-3,
739,NYLE ANTIHAIRFALL SHAMPO,8902979022859,80,95,3,
740,NYLE SHAMPO POLLUTION SH,8902979023054,80,95,2,
741,NYLE VOLUME ENHANCE 400,8902979022989,164,205,2,
742,OATS,8902710100068,99,99,2,
743,ODONIL ZIPPER JOYFUL LAV,8901207029585,40,55,2,
744,OIL SPICE AFTER SHAVE LO,4902430785372,200,235,3,
745,OLAY INSTANT GLOWING FAI,4902430979689,160,169,1,
746,OLAY INTANT GLOWING FAIR,4902430979054,90,99,2,
747,OLD SPICE AFTER SHAVE LO,4987176041616,100,130,1,
748,OLD SPICE AFTER SHAVE LO,4902430785419,200,235,1,
749,OLD SPICE KRAKENGARD,4902430295994,200,249,1,
750,OLD SPICE LATHER SHAVING,4902430649636,50,60,0,
751,OLD SPICE LIONPRIDE,4902430296038,235,250,2,
752,OLD SPICE NOMAD BODY SPR,4902430295932,230,249,1,
753,OLD SPICE TIMBER BODY SP,4902430295970,200,249,1,
754,OLIGRO OLIVE OIL 100 ML,8904250603429,100,110,1,
755,oral,4902430653473,100,170,0,
756,ORAL B NEEM TOOTHBRUSH,4902430853002,20,25,-1,
757,ORAL B PRE HEALH TOOTH B,4902430781640,140,150,0,
758,ORAL B SOFT,4987176062031,75,75,0,
759,ORAL B TOOTH BRUSH SENSI,4902430888325,25,30,0,
760,ORAL B TOOTHBRUSH SOFT 4,,0,120,-1,
761,ORAL B TOOTHBRUSH SOFT 4,,110,130,4,
762,ORAL BZIG ZAG,4902430879385,40,49,3,
763,ORBIT SUGAR FREE MIXED F,89007587,4,5,97,
764,ORBIT SUGAR FREE SWEETMI,8906002487813,140,160,0,
765,ORBIT SUGAR FREE SWEETMI,89007594,4,5,4,
766,ORCHID BLOOM 75GM,,60,79,1,
767,OREAL 1L,,216,432,6,
768,OREO 100 GM 5 PC PACK,7622201515997,90,135,1,
769,OREO 300GM,7622201464486,60,80,8,
770,ORGANIC JAGGERY SHAKKAR,890408350611,40,80,4,
771,ORGANIC POHA 500 GM,8904083504849,34,68,0,
772,ORIGINAL SKITTLESS TUBE,8906002489060,40,50,-1,
773,ORION CHOCO PIE,,15,20,-2,
774,Milk,,0,29,-11,
775,MASOOR DAL,,97,140,0,
776,2 SIDED FOAM TAPE,6344563463445,20,30,2,
777,MEGLOW PREMIUM FAIRNESS,8904250610403,45,50,1,
778,SKORE DOTS,8906007131001,85,90,9,
779,FOG RADIATE,8908001158367,170,185,1,
780,FOGG ABSOLUTE,8908001158794,200,200,3,
781,DETOL SOAP 125 GM,8901396397632,39,50,7,
782,DOVE INTENSE REPAIR COND,8901030708794,80,90,1,
783,CHINGS INSTATNT SOUP HOT,8901595971244,9,10,5,
784,CADBURY BOURNVILLE CRANB,7622201138424,80,100,4,
785,ASHIRVAAD 5 kG,,167.5,200,9,
786,CATCH TURMERIC POWDER 10,8901192107121,30,34,6,
787,CHINGS HAKKA NOODLE 150,8901595851225,25,32,6,
788,CADBURY CHOCLAIRS GOLD L,,1.6,2,90,
789,5 STAR 3 D CHOCOLATE,7622201150334,24,30,19,
790,2xSNICKERS 80G,8902433004711,64,125,1,
791,BIOTIQUE BIO PINEAPPLE 1,8906009459714,100,120,2,
792,BIOTIQUE BIO WHITE FACH,8906009459707,100,120,4,
793,CATCH KUTI MIRCH 100GM,8901192102126,45,47,3,
794,CATCH SPRINKLER TABLE SA,8901192000200,20,35,4,
795,CHINGS GREEN CHILLI SAUC,8901595862733,55,55,1,
796,B NATURAL APPLE JUIC,8901725100063,100,110,3,
797,CADBURY PERK BYTES 27PC,8901233025995,75,99,10,
798,CATCH RAITA MASALA,8901192227119,39,60,3,
799,AASHIRVAAD AATA 10 KG,,330,370,6,
800,BIKANO KHATTA MEETHA 85,8901414004474,20,25,5,
801,CHANA DAL 1KG,36000425888,70,110,9,
802,CHOTI ELAICHI ILAICHI 50,,70,100,8,
803,BRITANNIA VEG GOBBLES CA,8901063363748,17,20,4,
804,CADBURY PERK BYTES LOOSE,,4,5,12,
805,PARLE BLACKBON 100GM,,29,30,5,
806,HIMALAYA GENTEL BABY SHA,8901138512576,300,320,3,
807,EMAMI NATURALLY FAIR 50M,8901248236065,140,140,1,
808,HIMALAYA BABY CREAM 100M,8901138511494,120,140,3,
809,SUPER STRONG PHENYL 5 L,36000367072,59,149,8,
810,AJANTA BAKING POWDER 100,8908008948015,15,23,10,
811,AXE GOLD TEMPTATION,8901030834288,200,210,2,
812,DABUR PUDIN HARA,8901207006845,46.25,55,1,
813,VANESA ENVY NATURAL SPRA,8901450000201,130,145,1,
814,BIOTIQUE BIO PINEAPPLE F,8906009459967,165,173,2,
815,AJAY KITCHEN KING SCRUB,,12,22,3,
816,CADBURY GEMS HOME TREATS,,4,5,20,
817,BRITNNIA WAFERS STRAWBER,8901063032316,40,45,1,
818,CATCH RED CHILLI 100 GM,8901192106124,40,46,1,
819,CHINGS MUNCHURIAN NOODLE,,40,60,1,
820,CHINGS SINGAPORE CURRY I,8901595963416,49,60,1,
821,BADAM ALMOND 200 GM,987654321098,120,180,8,
822,BRITANNIA TIGER KRUNCH C,8901063155329,60,120,2,
823,BINGO MAD ANGLES 130 GM,8901725111472,40,50,11,
824,COLGATE MAX FRESH 300 G,8901314308108,170,182,-1,
825,PAMPERS ACTIVE BABY 32 D,4902430896818,849,849,2,
826,SUNFEAST YIPPEE 2 IN 1 1,8901725116996,20,24,3,
827,SUNFEIST YEPPIE 135 GM,,22,24,5,
828,TATA TEA PREMIUM 250G,8901052003860,70,140,4,
829,TOO YUMM DAHI PAPRI 25 G,8906090571241,8.5,10,2,
830,TOO YUMM INDIAN MASALA 3,8906090572934,8.5,10,7,
831,TOPS RED CHILLI SAUCE 65,8904288601404,50,70,2,
832,UNIBIC SNICK BAR MULTIGR,8906009079677,21,40,3,
833,BRITANNIA CHEESE SLICE 6,,369,552,3,
834,COLGATE STRONG TEETH 300,8901314010131,147,147,2,
835,DOMS WAX CRAYON 12 SHADE,8908000034488,6.5,15,110,
836,TILE TOILET BRUSH SMALL,,18,30,12,
837,TRI CIRCUIT LOCK PADLOCK,,75,140,20,
838,UNIBIC KISS COOKIES 75 G,8906009077581,40,45,12,
839,RICE 1 KG LOOSE WHITE SI,,30,45,24,
840,TATA HOT & SPICY SCHEZWA,8906111440044,75,99,-3,
841,KINLEY SODA 750ML,8901764072277,14,20,68,
842,DABUR AMLA HAIR OIL,89009550,40,47,3,
843,DABUR LAL MANJAN,89009574,30,30,6,
844,DETTOL 125G,8901396398493,0,63,6,
845,DETTOL LIQUID 125ML,8901396350200,55,55,3,
846,DOVE DAILY SHINE CONDITI,8901030861345,180,190,1,
847,PEPPY TOMATO DISCS 70G,8901565001698,30,60,5,
848,TETLEY GREEN TEA,8901052087624,275,550,4,
849,BRITANIA GOODAY PACK OF,,65,130,6,
850,CATCH RED CHILLI POWDER,8901192106223,90,95,4,
851,ZHAKKAS FRYING PAPAD,,25,50,8,
852,WILDCRAFT W95 MASK,8903338295655,9,45,16,
853,DOMS SKETCH MAX PEN 12 C,8908000034976,21,30,19,
854,TATA SALT 1 KG,8904043901015,22,24,48,
855,DELMONTE KING COCONUT WA,8901246005878,60,60,34,
856,TATA TEA PREMIUM 100GM,8901052004508,27,30,17,
857,CRAX DOUBLE MAZA NAMKEEN,8908001246309,8.5,10,0,
858,CRAX NATKHAT 72 GM,8908016029263,12,25,5,
859,PAMPERS M 2 PANTS,4902430717298,21,24,4,
860,TATA TEA PREMIUM 1 KG,8901052004621,420,490,5,
861,TOPS CUSTARD KESAR PISTA,8904288621136,25,47,2,
862,TOPS CUSTARD STRAWBERRY,8904288621143,20,38,9,
863,BINGO POTATO CHIPS100 GM,8901725111465,35,50,4,
864,CRAX CURLS SNACKS CHATP,8908016029249,16.75,25,1,
865,CRAX FRITTS CRN PTTO STC,8908016029256,16.75,25,7,
866,CRAX RINGS MM SNACKS 55G,8908016029232,16.75,25,4,
867,DORITOS MASALA MAYHEM FL,8901491000918,20,30,6,
868,DORITOS NACHOS CHEESE FL,,26,30,1,
869,TOO YUMMI POTATO STIX 75,8906090572842,25,50,8,
870,BRITANNIA TREAT JIMJAM 1,8901063029170,26.25,35,7,
871,TATA PAPPER MASALA NOODL,8906111440501,20,99,16,
872,DOMES COLOUR ERASERS,8906073772467,0.75,1,99,
873,DHARA REFINED OIL RICEBR,8906004620553,162,180,1,
874,DORITOS SWEET CHILLI 44,8901491000208,18,20,0,
875,TEA VALLEY UTSAH 1 KG,8906100150664,199,240,6,
876,DELMONTE MIXED JUICE CAN,8901246005632,35,70,82,
877,DOVE CREAM BATHING BAR 1,,68,99,8,
878,DOMS SUPER DARK PENCIL,,25,40,60,
879,DOMS PENCIL RED A1,8908000034013,25,40,10,
880,PEPPY CHEESE BALLS,8901565001711,30,60,14,
881,SURF EXEL BAR SMALL 87 G,8901030873195,9,10,10,
882,TATA HOT & SPICY NOODLES,8906111440518,75,99,12,
883,SHIVAKA PAPER NAPKIN,,8,20,79,
884,CREMICA JEERA LITE 500GM,8906078263618,50,100,4,
885,DABUR HONEY 50 GM,8901207045370,32,40,3,
886,DOMS WATER COLOR,,8.5,15,100,
887,CORNETTO BUTTER SCOTCH 1,8901030771484,28.25,40,0,
888,CORNETTO CHOCO VANILLA 1,8901030771491,21.19,30,-21,
889,CORNETTO DOUBLE CHOCOLAT,8901030772627,28.25,40,0,
890,BIOTIQUE BIO NEEM 340 ML,8904317300339,280,299,2,
891,HALDIRAM NAMKEEN PLAIN M,,45,52,2,
892,KEYA ELBOW PASTA,8906066202124,70,140,1,
893,RIN 150G,8901030870859,9,10,52,
894,KUTTU ATTA,779167076,22,75,10,
895,ALMOND BADAM 1 KG,,559,900,1,
896,ASHIRWAD SHUDH CHAKKI AA,,330,350,1,
897,SUGAR 1 KG PACK,,39,40,54,
898,ELINA RCE,,53,160,5,
899,GOOEEJ CINTHOL DEODORANT,8901023009891,140,143,7,
900,HARPIC ORGANIC ACTIVE 10,8901396174202,76,86,2,
901,HEAD & SHOULDERS 2 IN 1,4902430908085,350,365,1,
902,EVA URBANE,8902618001078,130,140,2,
903,FAIR & LOVELY FACEWASH 1,8901030821400,100,120,3,
904,FINE LIFE PREMIUM RUSK 2,8902689361354,26,28,2,
905,FOGG ESSENCE 120ML,8908001158343,100,185,7,
906,FOGG FRESH BODY SPRAY,8908001158565,115,230,10,
907,FOGG STAR 120 ML,8904238301507,200,250,1,
908,GLUCON-D TANGY ORANGE,8901542017667,43,43,1,
909,GMF SHIKANJI MASALA 100G,8908004643044,34.67,52,2,
910,JEERA 200 GM,,90,120,8,
911,KNORR CHINESE MUNCHURIAN,8901030681936,38,50,2,
912,LOREAL PARIS EXTRAORDINA,8901526513352,135,150,3,
913,LOREAL PARIS FOR DAMAGE,8901526101511,199,199,3,
914,MEDIMIX SOAP 3N,8904018301680,100,105,5,
915,MEGLOW PREMIUM FAIRNESS,8904250610427,140,150,2,
916,MIX DAL,,93,115,8,
917,NAPHTHALENE BALLS 100G,8904132925274,24.5,49,3,
918,PAMPERS L 7 PACK,4902430837972,99,99,8,
919,PARACHUTE COCONUT OIL JA,8901088137034,74,95,3,
920,PARLE CHATKEEN MOONG DAL,,64,128,1,
921,RASNA INSTA ENERG LEMON,8901848001070,120,135,3,
922,ROOHAFZA 750 ML,8901453000024,130,150,4,
923,SAFOLA GOLD 5 LTR + 1 LT,8901088017411,980,1080,2,
924,SNAC TAC BIKANERI BHUJIA,8904132912779,33.5,67,3,
925,SOOJI RAWA 1 KG PP,8902901001747,40,80,4,
926,STICK WIPER BIG,,150,225,3,
927,FEVICOL TUBE 22.5GM MR A,,9,10,10,
928,FOOD EASY CITRIC ACID,,45,85,12,
929,FOOD EASY ELAICHI POWDER,,120,145,11,
930,GOOD LIFE WHOLE WHEAT CH,8902901030556,9,50,13,
931,REAL POMEGRANATE 1 LTR,8901207004421,86.25,115,1,
932,LAYS CHIPS CLASSIC SALTE,8901491001021,47,50,4,
933,REAL LICHI JUICE 200ML,8901207032110,10,20,117,
934,ENO ORANGE 5 GM SACHET,8901571006885,7.5,9,13,
935,EVERYDAY MILK 3 GM POUCH,,2,3,117,
936,MOONG CHILKA DAL 1KG,36000392166,94,115,4,
937,ODONIL AIR FRESHNER 75 G,,65,72,1,
938,KINLEY 300ML,8901764082252,5,8,-61,
939,EGG LOOSE,,5,7,-15,
940,NILONS TOOT FRUITY,8901560083552,40,50,10,
941,FOOD EASY PASTA SEASONIN,,55,65,24,
942,OXIGLOW LEMON HANDWASH,8906034014186,90,99,15,
943,OXYGLOW HERBALS ALOEVERA,8906034014193,50,99,16,
944,LAYS AMERICAN STYLE CREA,8901491001120,80,85,7,
945,PONDS MINERAL CLAY,8901030806353,70,85,18,
946,LAYS AMERICAN STYLE CREA,8901491000772,47,50,22,
947,EVEREADY RED AA BATTERY,,11,15,19,
948,EVEREADY RED AAA BATTERY,,11,15,20,
949,EVERYDAY MILK 20 GM,,8,10,8,
950,GARNIER COLOR NATURAL H,8901526204472,155.5,180,3,
951,JOHNSONS BABY OIL 50 ML,8901012116708,0,60,1,
952,MTR UPMA 160G,8901042970660,40,50,3,
953,BIKANO ALOO BHUJIA 85 GM,8901414004450,20,25,5,
954,DOVE HAIRFALL RESCUE CON,8901030861338,180,190,3,
955,DOVE OXYGEN MOISTURE SHA,8901030708008,300,305,3,
956,EMAMI KESH KING DAMAGE R,8901248240321,50,55,1,
